pair,seed,method,stage,w2,wall_s,nfe,params
moons->spiral,1,bridge-matching-sde,100,0.06016048416495323,8.188197957992088,100,223362
moons->spiral,1,bridge-matching-ode,100,0.26763778924942017,8.188197957992088,100,223362
moons->spiral,1,dsb,0,0.8309641480445862,3.281922087499697,20,446724
moons->spiral,1,dsb,1,0.8613241314888,6.563844174999394,20,446724
moons->spiral,1,dsb,2,0.9137009978294373,9.845766262499092,20,446724
moons->spiral,1,dsb,3,0.8580589890480042,13.127688349998788,20,446724
moons->spiral,1,dsb,4,0.7938541769981384,16.409610437498486,20,446724
moons->spiral,1,dsb,5,0.8477717638015747,19.691532524998184,20,446724
moons->spiral,1,dsb,6,0.7999783754348755,22.973454612497882,20,446724
moons->spiral,1,dsb,7,0.7929596304893494,26.255376699997576,20,446724
moons->spiral,1,dsb,8,0.9297762513160706,29.537298787497274,20,446724
moons->spiral,1,dsb,9,0.8933090567588806,32.81922087499697,20,446724
moons->spiral,2,untransported,0,1.0339581966400146,0.0,0,0
moons->spiral,2,sinkhorn-eps0.5,500,0.20063962042331696,1.9827972079947358,0,0
moons->spiral,2,sinkhorn-eps0.1,500,0.07490372657775879,1.982839625008637,0,0
moons->spiral,2,sinkhorn-eps0.03,500,0.21124185621738434,2.074889916999382,0,0
moons->spiral,2,bridge-matching-sde,10,0.18615780770778656,7.961076999999932,10,223362
moons->spiral,2,bridge-matching-ode,10,0.4330933690071106,7.961076999999932,10,223362
moons->spiral,2,bridge-matching-sde,50,0.06926201283931732,7.961076999999932,50,223362
moons->spiral,2,bridge-matching-ode,50,0.2641560137271881,7.961076999999932,50,223362
moons->spiral,2,bridge-matching-sde,100,0.07334131747484207,7.961076999999932,100,223362
moons->spiral,2,bridge-matching-ode,100,0.2488446831703186,7.961076999999932,100,223362
moons->spiral,2,dsb,0,0.9088384509086609,3.2754817166001886,20,446724
moons->spiral,2,dsb,1,0.7782310247421265,6.550963433200377,20,446724
moons->spiral,2,dsb,2,0.8675821423530579,9.826445149800566,20,446724
moons->spiral,2,dsb,3,0.8062404990196228,13.101926866400754,20,446724
moons->spiral,2,dsb,4,0.7785330414772034,16.377408583000943,20,446724
moons->spiral,2,dsb,5,0.8060616254806519,19.652890299601133,20,446724
moons->spiral,2,dsb,6,0.7475948929786682,22.92837201620132,20,446724
moons->spiral,2,dsb,7,0.8345855474472046,26.20385373280151,20,446724
moons->spiral,2,dsb,8,0.8067837357521057,29.479335449401695,20,446724
moons->spiral,2,dsb,9,0.7751106023788452,32.754817166001885,20,446724
circle->moons,0,untransported,0,1.303056001663208,0.0,0,0
circle->moons,0,sinkhorn-eps0.5,500,1.167235016822815,2.316122832999099,0,0
circle->moons,0,sinkhorn-eps0.1,500,1.1557358503341675,2.0999095419974765,0,0
circle->moons,0,sinkhorn-eps0.03,500,1.0566809177398682,2.0870942500041565,0,0
circle->moons,0,bridge-matching-sde,10,0.11688172817230225,7.955478999996558,10,223362
circle->moons,0,bridge-matching-ode,10,0.25913047790527344,7.955478999996558,10,223362
circle->moons,0,bridge-matching-sde,50,0.06455156207084656,7.955478999996558,50,223362
circle->moons,0,bridge-matching-ode,50,0.1918257474899292,7.955478999996558,50,223362
circle->moons,0,bridge-matching-sde,100,0.08078638464212418,7.955478999996558,100,223362
circle->moons,0,bridge-matching-ode,100,0.1861668974161148,7.955478999996558,100,223362
circle->moons,0,dsb,0,0.7305896878242493,3.278285033299471,20,446724
circle->moons,0,dsb,1,0.4840874671936035,6.556570066598942,20,446724
circle->moons,0,dsb,2,0.4363829493522644,9.834855099898414,20,446724
circle->moons,0,dsb,3,0.4902680218219757,13.113140133197884,20,446724
circle->moons,0,dsb,4,0.42367425560951233,16.391425166497356,20,446724
circle->moons,0,dsb,5,0.4400761127471924,19.669710199796828,20,446724
circle->moons,0,dsb,6,0.4690096378326416,22.9479952330963,20,446724
circle->moons,0,dsb,7,0.4679347574710846,26.22628026639577,20,446724
circle->moons,0,dsb,8,0.45440855622291565,29.50456529969524,20,446724
circle->moons,0,dsb,9,0.3787437081336975,32.78285033299471,20,446724
circle->moons,1,untransported,0,1.2915709018707275,0.0,0,0
circle->moons,1,sinkhorn-eps0.5,485,1.1353260278701782,1.9193028750014491,0,0
circle->moons,1,sinkhorn-eps0.1,500,1.1237883567810059,1.9871406669990392,0,0
circle->moons,1,sinkhorn-eps0.03,500,1.0298287868499756,1.9907501249981578,0,0
circle->moons,1,bridge-matching-sde,10,0.13093481957912445,8.240783041997929,10,223362
circle->moons,1,bridge-matching-ode,10,0.2737109363079071,8.240783041997929,10,223362
circle->moons,1,bridge-matching-sde,50,0.04843384772539139,8.240783041997929,50,223362
circle->moons,1,bridge-matching-ode,50,0.1870819479227066,8.240783041997929,50,223362
circle->moons,1,bridge-matching-sde,100,0.04125063866376877,8.240783041997929,100,223362
circle->moons,1,bridge-matching-ode,100,0.17838633060455322,8.240783041997929,100,223362
circle->moons,1,dsb,0,0.4420178532600403,3.2814728084005766,20,446724
circle->moons,1,dsb,1,0.3308270573616028,6.562945616801153,20,446724
circle->moons,1,dsb,2,0.42408838868141174,9.844418425201729,20,446724
circle->moons,1,dsb,3,0.4395672678947449,13.125891233602307,20,446724
circle->moons,1,dsb,4,0.37094300985336304,16.407364042002882,20,446724
circle->moons,1,dsb,5,0.3759628236293793,19.688836850403458,20,446724
circle->moons,1,dsb,6,0.3578740954399109,22.970309658804034,20,446724
circle->moons,1,dsb,7,0.3276357054710388,26.251782467204613,20,446724
circle->moons,1,dsb,8,0.4162396788597107,29.53325527560519,20,446724
